Researcher,Year,Title,Type,Abstract,Source,Authors,Institution,Topics,Affiliation Match
Nadine Bade,2020,II.1 The Poet as Linguist,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212947771"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Translation Studies and Practices,University of Potsdam
Nadine Bade,2020,I.5 “If it had no pencil”: Identifying Referents – Pronouns,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4212978196"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Natural Language Processing Techniques,University of Potsdam
Nadine Bade,2020,III.1 Poetry as a Data Source for Formal Linguistics,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4213203112"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Natural Language Processing Techniques,University of Potsdam
Nadine Bade,2020,II.2 The Linguist as Poet,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4213240310"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Gender Studies in Language,University of Potsdam
Nadine Bade,2020,III.2 Formal Linguistics as a Tool in Literary Studies,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4213242193"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Linguistic research and analysis,University of Potsdam
Nadine Bade,2020,Frontmatter,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4213281915"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Susanne Riecker, Saskia Brockmann, Angelika Zirker, Nadine Bade, Carmen Dörge, Julia Braun, Chiara Gianollo, Daniël Van Olmen, Walter Bisang, Tine Breban, Volker Gast, Hans Hock, Karen Lahousse, Natalia Levshina, Caterina Mauri, Heiko Narrog, Salvador Pons, Niina Ning, Zhang Zeldes",,Topic not available,University of Potsdam
Nadine Bade,2020,Foreword,book-chapter,"Center 833 ""The Construction of Meaning"" at the University of Tübingen.It is a book on language and a book on the poetry of Emily Dickinson, premised on the idea that expert knowledge about language will improve our understanding of literature, and studying literature will lead us to insights about language.It builds on a number of detailed analyses with the aim to inspire a more general interest in combining the methodologies employed by both disciplines.We hope that our book will be of interest to everyone who wants to broaden the evidential basis for linguistic investigation: we show that poetry is a fascinating source of linguistic phenomena that has often been overlooked by linguists though literary experts are at hand to explain their contexts and pragmatic meaning.We hope that our book will also be of interest to everyone who wants to learn about language as the basis of any meaning of literary texts: they will find precise explanations of phenomena that have often been overlooked or treated inadequately by literary scholars though linguistic experts are at hand to explain how they work.Although the group of authors is a large one, there are still others to whom we are grateful for ideas, expertise, and support: in the first place, we would","<a href=""https://openalex.org/W4213340881"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2020,I.2 “You said that I ‘was Great’”: Scales and Contextual Parameters,book-chapter,Abstract not available,"<a href=""https://openalex.org/W4213387397"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2020,Index,paratext,Abstract not available,"<a href=""https://openalex.org/W4239661211"" target=""_blank"">OpenAlex</a>","Matthias Bauer, Sigrid Beck, Saskia Brockmann, Susanne Riecker, Angelika Zirker, Nadine Bade",,Topic not available,University of Potsdam
Nadine Bade,2022,Question-answer dynamics in deductive fallacies without language,preprint,Abstract not available,"<a href=""https://openalex.org/W4322756685"" target=""_blank"">OpenAlex</a>","Woojin Chung, Nadine Bade, Sam Blanc-Cuenca, Salvador Mascarenhas",,Language and cultural evolution,University of Potsdam
